Name.1,Media_count.1,date.1,Name,Media_count,date
stellamccartney,1010773,2024.05.25,stellamccartney,1011200,2024.05.20
motherofpearl,729784,2024.05.25,motherofpearl,729037,2024.05.20
marksandspencer,664000,2024.05.25,marksandspencer,663357,2024.05.20
sezane,656369,2024.05.25,sezane,655657,2024.05.20
veja,455140,2024.05.25,veja,454275,2024.05.20
everlane,103405,2024.05.25,everlane,103392,2024.05.20
lucyandyak,75035,2024.05.25,lucyandyak,74969,2024.05.20
eileenfisher,47800,2024.05.25,eileenfisher,47788,2024.05.20
koan,47411,2024.05.25,koan,47329,2024.05.20
armedangels,42224,2024.05.25,armedangels,42179,2024.05.20
alternativeapparel,29235,2024.05.25,alternativeapparel,29219,2024.05.20
girlfriendcollective,21894,2024.05.25,girlfriendcollective,21581,2024.05.20
outerknown,17515,2024.05.25,outerknown,17491,2024.05.20
asket,12498,2024.05.25,asket,12501,2024.05.20
christydawn,9066,2024.05.25,christydawn,9047,2024.05.20
amourvert,5785,2024.05.25,amourvert,5781,2024.05.20
barekind,1325,2024.05.25,barekind,1324,2024.05.20
